,Title,Opinion,Place,Gender,Age,Country,Date,Label,Lang
3189,un gran recorrido,este lugar es una de las atracciones mas simbolicas e interesantes de la ciudad el museo en si es pequeno y si vas en temporada alta tendras que esperar mucho para poder entrar pero lo vale totalmente ya que veras y conoceras la historia de estas momias,Museo de las Momias,Male,36,Guatemala,20/01/2016,1,es
152,visita,hay que planear la visita en domingo ya que cierra a las dos de la tarde y los lunes no abre por lo que muchos que nos confiamos de que los domingos son los dias de mas visita nos quedamos sin entrar,Alhóndiga,Female,40,México,08/11/2016,0,es
843,no se puede perder,guanajuato es un lugar magico y unico no puedes decir que eres mexicano si no has ido a una callejoneada en la universidad y si eres extranjero este es un lugar qur no puedes dejar de visitar,Universidad de Guanajuato,Female,32,México,02/01/2015,1,es
241,guanajuato no es solo momias,si bien es una curiosidad el museo y tiene gran promocion la ciudad tiene muchos mas lugares para ser visitados que en mi opinion valen mas la pena yo dejaria a las momias para el final y solo si sobra tiempo para ello,Museo de las Momias,Male,33,México,26/09/2014,0,es
1398,si me gusto,la verdad es muy bonita la historia de mexico y mas la de la independencia que fue la que dio muchos heroes sin nombre y la verdad gracias por ese cuidado de nuestros heroes,Monumento Pípila,Female,28,México,09/09/2015,1,es
3460,obligada visita,simplemente no se puede entender guanajuato sin la alhondiga  el exterior esta sucio pero ya adentro vale la pena cuesta  pesos la entrada cobran  por permiso para fotografias pero no los paguen nadie te anda pidiendo la etiqueta que te autoriza tomar las fotos,Alhóndiga,Male,31,México,28/12/2012,1,es
1871,imperdible,sencillamente todo guanajuato es precioso practicamente en cualquier callejon encuentras algo que te llama la atencion una fuente unas escaleras algun parquecito no se siempre hay algo este sitio tal vez no sea muy distinto o impresionante comparado con otros callejones pero sin lugar a duda tienes que venir es casi obligado besar a tu pareja aqui o puedes buscar a alguien ahi para lo mismo,Callejón del Beso,Male,26,México,24/09/2013,1,es
758,obligatorio,si estas en guanajuato o alrededores es una parada obligatoria simplemente por cultura general y no te llevara mucho tiempo es un lugar pequeno y por lo mismo hay que hacer fila esta bien mantenido aunque falta algo de seguridad o proteccion para las momias al parecer el personal que te guia solo es para grupos pues no me toco un guia en especifico y tenia que alcanzar al grupo de una escuela para poder escuchar la explicacion,Museo de las Momias,Male,57,México,19/05/2016,0,es
1564,tarde relax,es de esos jardines perfectos rodeado de restaurantes cafes y como no mencionar el teatro juarez la mejor vista ideal para descansar despues de una larga caminata por la ciudad,Jardín de la Unión,Female,31,México,12/09/2017,1,es
2619,gran experiencia,super economico rapido y el personal es muy amable es una excelente actividad que tienes que realizar si visitas guanajuato,Monumento Pípila,Male,26,México,03/03/2018,1,es
1552,un tesoro inesperado,"uno de los mejores lugares del guanajuato diurno absolutamente inesperado no te dejes enganar por los alrededores del museo pues lo que vale es su asombroso contenido momias

el estado de cada pieza los detalles la variedad y la historias detras son para quedar boquiabierto recomendado",Museo de las Momias,Male,-1,Ecuador,2018,1,es
889,magia historia con sabor a mexico,lugar rodeado por restaurantes y bares lleno de color sabor y buen ambiente musica color y folklor mexicano,Jardín de la Unión,Male,48,México,22/02/2016,1,es
1075,no te lo puedes perder,lugar muy recomendado para ver una maravillosa vista de guanajuato podras admirar las casitas de colores en todo guanajuato muy muy bonita vista de preferencia puedes ir por tu cuenta y sale mas barato y te ahorras tanta vuelta que te dan los tour operadores,Monumento Pípila,Female,36,Argentina,20/10/2016,1,es
3381,impresionante,es impresionante el teatro juarez con arquitectura eclectica realizada por jose noriega mexicano  tiene  anos de antiguedad el costo de entrada es de  pesos por persona para estudiantes  dentro del teatro te cuentan la historia desde la construccion hasta ahora vale mucho la pena,Teatro Juárez,Female,30,México,09/01/2016,1,es
3715,bonito y centrico,es un parque muy centrico ya que al rededor cuenta con restaurantes y servicios ideal para pasar el rato yo tomar un descanso,Jardín de la Unión,Male,-1,México,2018,1,es
3724,impresionante,desde cualquier lugar de guanajuato que te encuentres veras su torre o partes de su impresionante arquitectura se dice de guanajuato que es una ciudad universitaria y ese edificio no hace mas que reafirmarlo una de las universidades mas majestuosas que he visto,Universidad de Guanajuato,Male,27,Argentina,02/09/2014,1,es
4405,mucha historia,visita obligada si vas a guanajuato muchas historia la arquitectura es hermosa no recuerdo que horas era la visita guiada creo que a las  y a la  excelente explicacion,Alhóndiga,Male,17,México,26/09/2016,1,es
3991,excelente arquitectura,hermoso teatro representativo de la ciudad si por fuera luce muy hermoso por dentro es aun mas les recomiendo que no se pierdan el entrar a verlo,Teatro Juárez,Male,19,México,05/01/2016,1,es
1644,bonito,"venir aqui es ir con alguien que cuente bien la leyenda en la 
ocasion que fui habia mucha gente sacar una buena foto es 
dificil asi es un callejon normal pero si definitivamente su
historia es bonita sacar la foto ahi es un must",Callejón del Beso,Female,-1,México,2018,1,es
835,impresionante,una visita para recordar mucha historia para incrementar tu acervo cultural datos personajes batallas museo muy completo no dejen de visitarlo,Alhóndiga,Male,69,México,03/12/2014,1,es
3494,excelente museo,me gusto mucho este museo ya que nos muestra toda la vida de diego rivera desde su infancia nos muestra sus principales obras y hay una area de cine donde puedes ver un documental de su vida ademas hay un espacio donde te hablan de sus murales es un lugar que no deben de dejar de visitar cuando esten en guanajuato ademas de que cobran  a los estudiantes,Casa de Diego Rivera,Female,41,México,30/04/2012,1,es
329,muy caro para ver solo momias,fuimos al museo con la intencion de ver las famosas momias de guanajuato pero al ver el precio de la entrada se nos quito el animo preguntando por el museo nos enviaron por unos escalones para subir al panteon esos escalones son para personas jovenes subimos en partes para poder descansar al dejar el panteon nos dimos cuenta que puedes llegar por una calle sin subir escalones demasiado tarde falta mas informacion sobre la forma de subir al panteon y museo,Museo de las Momias,Male,64,México,24/03/2016,0,es
2804,visita obligada,aun puede sentirse la atmosfera de lo que alli acontecio una bodega silenciosa que en sus cicatrices cuenta la historia una visita mas que obligada el personal un tanto distante y malhumorado la entrada muy cara pero valen muchisimo la pena los frescos del pintor chavez morado,Alhóndiga,Male,40,México,19/05/2016,1,es
3564,punto de interes en guanajuato,un lugar que no puedes dejar de visitar en guanajuato el acceso puede ser en taxi si no tienes buena condicion fisica yo senti que me ahogaba al subir las  escaleras y pasar por reducidos callejones pero eso tambien es parte de la experiencia que no puedes dejar de hacer desde arriba obtendras las mejores tomas hay un pequeno bar donde puedes refrescarte con unas micheladas sentado comodamente en una terraza con vista espectacular si llevas ninos pequenos por favor no los suelten de la mano,Monumento Pípila,Male,30,México,30/03/2016,1,es
2164,interesante,la casa es muy bonita encuentras algunas obras de el y tambien de otros pintores revisar horarios antes de ir ya que cierran temprano los domingos,Casa de Diego Rivera,Female,33,México,01/05/2015,1,es
353,museo de momias,el museo fue remoledado por lo que ya no es como antes en donde se veia a todas las momias en un solo pasillo ahora se puede observar a menos momias y bien clasificadas con su historia vale la pena visitar aunque ya no es como antes,Museo de las Momias,Male,36,Chile,15/11/2015,0,es
1946,muy interesante,visita obligada estuvo interesante no me gusto que el guia comentara si no hay propina no hay explicacion,Museo de las Momias,N/I,-1,México,2020,1,es
1769,espectacular vista,super recomendado ir a este lugar sin duda de lo que mas van a disfrutar en el viaje porque la vista panoramica de la ciudad es unica,Monumento Pípila,Female,38,México,25/01/2016,1,es
1916,oh si,para disfrutar ese estilo barroco sus butacas durante una obra de teatro por decir en el cervantino cada octubre,Teatro Juárez,Female,52,México,19/04/2012,1,es
1890,visita obligada,el teatro esta activo pero si tienen oportunidad de visitarlo vacio es un claro reflejo del estilo predominante durante el porfiriato existen guias que explican los detalles arquitectonicos y anecdotas historicas lo que lo hace una buena visita turistica,Teatro Juárez,Female,25,México,28/07/2017,1,es
1845,imponente,magnifica construccion de este espacio y bien conservado sin publicidad y todo listo para tomarte una buena foto,Universidad de Guanajuato,Male,19,México,29/07/2015,1,es
2943,excelente edificio parte esencial de la independencia,es un edificio muy grande donde hay museo en la parte interior y muestra en escritos personajes esenciales de la independencia de mexico,Alhóndiga,Male,34,México,20/07/2016,1,es
1420,arquitectura colonial muy bella,bonita por fuera y maravillosa por dentro muy cuidada y hermosa no dejar de visitarla los candiles son una pieza increible del arte colonial,Basilica Colegiata,Male,43,México,03/01/2013,1,es
12,vista,no hay mucho que hacer ahi pero tiene la vista mas hermosa de toda la ciudad como para las fotos del viaje ,Monumento Pípila,Female,16,México,03/11/2015,0,es
344,un poco decepcionante,en realidad las momias estan en cuartos muy pequenos los espacios reducidos no permiten contemplar lo que esta expuesto tenia otras expectativas,Museo de las Momias,Female,35,México,05/04/2012,0,es
4009,cuna de la masoneria,enmarcada por el simbolo de los masones es un edificio impetuoso que no debes perderte una maravilla arquitectonica que reune varios estilos muy bien conservada,Universidad de Guanajuato,Female,38,México,09/09/2015,1,es
4243,rico y barato,fuimos a desayunar y se come rico y barato lo recomiendo si quieres darte un bano de pueblo jejeje nos atendieron muy bien aparte de comida hay muchos puestos de ropa  artesanias y muchas cosas mas,Mercado Hidalgo,Male,28,México,28/01/2018,1,es
3745,la vista de guanajuato aqui es increible,tal vez el pipila como tal no resulte tan llamativo pero escuchar la historiamito y apreciar guanajuato desde aqui no tiene precio,Monumento Pípila,Female,29,México,10/04/2012,1,es
338,mala atencion del personal,supuestamente los maestros entran gratis pero tienes que llevar tu cedula profesional tu titulo o en su caso un talon de pago impreso para hacer valido el acceso gratuito el personal es muy seco no te orientan mucho sobre el lugar buenos murales y las exposiciones son basicas nada extraordinario,Alhóndiga,Male,48,México,12/04/2017,0,es
1669,que miedo,la conservacion de los cuerpos me impresiono mucho las fotografias de los ninos que ya muertos los retrataban con su familia como despedida,Museo de las Momias,Female,63,México,16/11/2012,1,es
2709,excelente opcion,si te gustan las artesanias este mercado es ideal para encontrar lo que buscas desde blusas hasta dulces y hasta puedes quedarte a comer es muy amplio y variado muy buena opcion para llevar un recuerdo de guanajuato,Mercado Hidalgo,Female,27,México,24/03/2016,1,es
3807,arquitectura porfiriana,como es bien sabido el periodo del porfiriato tiene aires afrancesados y el teatro juarez es una muestra de este tipo de arquitectura si estas en la ciudad sin duda no te lo perderas ya que a su alrededor se encuentran varias atracciones no es necesario el esperar alguna presentacion ya que no es comun que haya a menos que sea el festival cervantino para conocer su interior hay recorridos dentro donde si te maravillo la vista exterior por dentro te transportara a francia y no creeras la belleza de este lugar,Teatro Juárez,Female,22,Paraguay,03/12/2015,1,es
2939,interesantes muestras,casa donde nacio digo rivera algunas salas muestran mobiliario de la epoca amplia exposicion de obras del artista complementado con muestras de otros,Casa de Diego Rivera,Male,-1,México,08/10/2015,1,es
1661,color y mercadeo,antiguo mercado tradicional que ha dejado paso a otro tipo de venta de artesanias recuerdos y souvenirs casi todos tienen lo mismo mucho color,Mercado Hidalgo,N/I,-1,N/I,2018,1,es
743,variedad de artesanias,como su nombre lo dice es un mercado mas que nada de artesanias y productos locales los precios no son muy altos y encuentras varias cosas en los primeros puestos hay ropa juguetes etc y mas atras se encuentra la comida,Mercado Hidalgo,Male,30,México,02/06/2016,0,es
914,punto necesario para visitar en guanajuato,este museo es de los mas completos y entretenidos que he visitado me encantaron los murales que se encuentran en la escalinata y en el techo del edificio son preciosisimos asi como la explicacion que dio una persona designada por el museo para ese efecto quien explico claramente y de forma rapida la historia de ese edificio tan importante,Alhóndiga,Female,66,México,01/01/2014,1,es
4254,preciosa,por fuera no es de las mejores de mexico pero por dentro es muy bonita los detalles de la pintura son muy bonitos,Basilica Colegiata,Female,-1,México,03/11/2015,1,es
3904,hermoso,me encanto revivi una de las mejores peliculas que he visto el estudiante un edificio muy colonial,Universidad de Guanajuato,Male,-1,México,02/01/2014,1,es
2140,darte un beso con tu pareja es toda una tradicion,toda pareja debe visitar este callejon y darse un beso es romantica la historia y tambien el inicio de la historia que se forma en ese lugar la mayoria de las callejoneadas termina aqui asi que es mejor que regreses mas tarde para que tengan la oportunidad de darse un beso sin gente alrededor,Callejón del Beso,Male,33,México,17/04/2018,1,es
695,visita obligada pero no hay facilidades para discapacitados o mujeres embarazadas,definitivamente es una visita obligada en la ciudad siempre interesante y asombroso ver las momias la histotia detras del museo y las momias es interesante es un museo interesante no se lo pueden perder pero sean muy pacientes hicimos fila de dos horas en el sol para  minutos de recorrido lo que es totalmennte reprobable es que no haya consideraciones para personas discapacitadas o mujeres embarazadas ancianos discapacitados y mujeres embarazadas todos tienen que hacer la misma fila terrible forma de recibirte,Museo de las Momias,Male,40,México,02/01/2016,0,es
2887,muy interesante museo,la exposicion del trabajo de diego rivera es maravillosa e interesante de igual forma las exposiciones temporales bastante impactantes,Casa de Diego Rivera,Female,-1,México,2017,1,es
3598,ubicacion y sabor,ambiente hermoso musical estudiantinas es una ciudad viva y llena de sabor es molesto tanto vendedor  pero es parte del sabor y la misma dinamica de la ciudad,Jardín de la Unión,Female,46,México,21/11/2014,1,es
304,un buen mirador de la ciudad de guanajuato,solo me gusto por el mirador no tiene costo de acceso y antes de ahi salia el teleferico pero desde hace  meses que se cayo y no hay para cuando lo vuelvan a poner en funciones,Monumento Pípila,Female,44,México,18/01/2016,0,es
2635,interesante,no te toma mas de  minutos visitar este lugar pero definitivamente es un lugar que tienes que ver si vas a guanajuato su historia es interesante y no cuesta nada ir,Callejón del Beso,Male,39,España,25/07/2016,1,es
3980,tesoro de la nacion,como destino turistico es una ciudad que ofrece mucho atractivos culturales de valor historico para nuestro pais gastronomicos arquitectonicos sobre todo naturales vias de acceso rapidas autopistas carreteras federales una ciudad preparada para el turismo por la oferta en hospedaje para todos los monederos recorrer sus calles ya es una experiencia diferente su centro historico lo vuelve unico con edificios historicos coloniales calles adoquinadas jardines plazas vistas de edificios que te cortan la respiracion vale la pena visitar una plazoleta en la que encontraras comida de todo tipo visita una mina visita los museos entiendo perfectamente porque gto fue la fuente constante de inspiracion de jose alfredo jimenez si estas en esa etapa y en el lugar donde la vida no vale nada prueba sus cervezas artesanales ayudaran a sobrellevarlo  ,Teatro Juárez,Male,38,México,15/03/2017,1,es
4024,excelente vista,si quieres conocer toda la ciudad y trazar tu mapa de actividades desde el pipila podras hacerlo la subida muy divertida para ninos arriba hay guias que te ayudan a identificar los lugares mas importantes y te venden folletos al respecto aparte un mercado de artesanias y dulces regionales,Monumento Pípila,Female,39,México,07/10/2014,1,es
1770,romantico,"este callejon tiene su historia y los de la estudiantina te dan
 muy buena explicacion usando a una pareja como
 ejemplo muy bonito solo que al subir al balcon para la 
foto  te cobran la foto que ese no es el problema el 
problema es que ya estando arriba del balcon te hacen
 comprar algo o tienes que pagar por usar el balcon y eso 
no te lo dicen antes de subir pero les doy un buen review 
porque yo se que esparte del show solo que deberia de
 tener un letrero o dejarnos saber antes de subir porque hay personas que alomejor no cargan con el dinero y yo de 
casualidad traia dinero por lo regular mi esposo era el que 
pagaba y no tenia necesidad de traer dinero",Callejón del Beso,Female,-1,N/I,2020,1,es
3818,toma aire para subir,me hubiera encantado verla por dentro su vista exterior es hermosa ademas de conservada facil de llegar caminando,Universidad de Guanajuato,Female,27,México,24/07/2012,1,es
1056,visita obligada,a los ninos les encanta desde que se suben al fonicular la vista es espectacular lo que no me gusto es que te cobran por subir al monumento y realmente no vale la pena en la explanada tienes la mejor vista de guanajuato,Monumento Pípila,Male,31,México,05/12/2016,1,es
3338,impresionante,el saber que los cuerpos tienen mas de  anos y ver su gran estado de conservacion realmente impresiona dicen que es debido al salitre de la tierra donde fueron enterrados hay momias tambien de bebes varios conservan aun sus ropas y hasta hay uno de una mujer que al parecer fue enterrada viva por la posicion de su cuerpo,Museo de las Momias,Female,31,Perú,23/07/2016,1,es
1584,hermosa vista,la visita al pipila es muy bonita sobretodo por las imagenes de la ciudad tambien tomarse una foto con el fondo de la estatua es interesante realmente es recomendable visitarlo,Monumento Pípila,Male,52,México,08/02/2017,1,es
2517,nice,buena opcion para tomar fotos panoramicas y comprar souvenirs la subida esta algo pesada pero vale la pena puedes comprar alimentos y snacks,Monumento Pípila,Male,23,México,21/11/2015,1,es
1110,lugar historico fundamental de la independencia,de lo mejor que hay en mexico para entender la independencia de mexico un lugar poco visitado pero muy importante,Alhóndiga,Male,66,México,29/04/2017,1,es
1023,bonito museo,el antiguo almacen de granos esta muy bien adecuado como museo la informacion esta bien repartida para apreciar y aprender hay jovenes que ofrecen explicar las diferentes salas y es un servicio gratuito,Alhóndiga,Male,39,México,19/08/2016,1,es
355,bonito pero muy concurrido,esta bonito el callejon y lo que representa pero esta muy concurrido y le quita la magia del lugar pues tienes que hacer fila para tomarte una foto hay callejones mas bonitos,Callejón del Beso,Male,30,México,08/03/2014,0,es
3816,buen mercado,es economico venden desde verduras frutas flores dulces tipicos comida hasta artesanias a precios muy accesibles,Mercado Hidalgo,Female,-1,México,15/07/2016,1,es
3701,de visita obligatoria,magnifica arquitectura llena de historia la ug es imprescindible al visitar la ciudad sus escalinadaa son geniales y la vista desde arriba es impecable,Universidad de Guanajuato,Male,-1,México,31/01/2017,1,es
2632,hay que verlo,el tema no deja de ser escatologico pero el proceso de momificacion impacta especialmente a los ninos la fila para entrar muy lenta paseo de  hora,Museo de las Momias,Male,46,Colombia,10/08/2012,1,es
3533,un lugar magico,es un lugar que debes de visitar si estas en guanajuato por las noches hay mariachi y grupos nortenos ademas los restaurantes que se encuentran en este jardin ofrecen cenas muy ricas y a un precio accesible,Jardín de la Unión,Male,-1,México,02/11/2016,1,es
86,no me gusto,desde la compra de los tickets no me latio pedi  entradas de ninos y  entradas de adulto y me las dieron todas de adulto al percatarme le comente a la senorita y su respuesta fue pues vendalos en la fila y pague los de ninos por supuesto que no iba a estar vendiendo boletos mal por la actitud con los turistas el museo realmente esta feo y descuidado y ya me habian dicho que no lo visitara,Museo de las Momias,Male,47,México,17/08/2017,0,es
1794,centro de la ciudad,imperdible centro neuralgico de la ciudad muy pero muy sucio como el resto de la ciudad un llamado al gobierno municipal para que pongan atencion el domingo al medio dia me toco ver y escuchar a la sinfonica de guanajuato en el quiosco,Jardín de la Unión,Male,22,México,31/08/2017,1,es
3216,diego rivera,que bueno que los habitantes de nuestro pais puedan ver la obra de este personaje que era super reconocido en el mundo y por los mas conocedores y ricos del mundo,Casa de Diego Rivera,Female,-1,N/I,2019,1,es
1031,visita obligada,este es uno de los lugares que hacen que guanajuato valga la pena visitar lo mantienen en excelentes condiciones y el montaje de las salas con las explicaciones dejan clara la relevancia historica de ese hermoso lugar  recomendable,Alhóndiga,Male,65,México,12/07/2015,1,es
915,bueno bonito y barato,"aqui encuetras de todos los recuerdos para llevar los mas variados y baratos que puedes encontrar
 ademas si no traes mucho presupuesto aqui encuentras comida muy variada y rica si te cuidas de no comer tanto irritante puedes pedir un filete de pescado o si no un mole o como las tradicionales enchiladas al estilo guanajuato hay tanta variedad que no sabes que comer mis amigas dicen que el menudo lo hacen muy rico",Mercado Hidalgo,Female,47,México,22/10/2012,1,es
508,no es indispensable,es interesante tienen muchas cosas curiosas y es entretenido pero si dispones de muy poco tiempo y es una visita de un solo dia sugiero saltarlo para aprovechar el tiempo en otros puntos,Museo de las Momias,Male,37,México,30/06/2016,0,es
446,un mercado cualquiera,mas bonito el exterior que el interior la fachada es muy bonita pero el interior es como cualquier mercado,Mercado Hidalgo,Male,-1,México,12/08/2012,0,es
1045,espectacular construccion de la ciudad,la universidad es una construccion incrustada en las ladera de la montana que hacen que sea uno de los edificios mas espectaculares de la ciudad,Universidad de Guanajuato,Male,42,Perú,22/12/2017,1,es
977,bellisimo teatro y lleno de historia,para conocer este teatro recomiendo ir con un guia pregunten por rigo anda cerca del teatro  guia certificado el les puede tambien ensenar a cerca de la historia de guanajuato que es impresionante   arquitectura  pintura calles callejones casa de diego costumbres etc gracias a rigo conoci la historia del teatro su arquitectura su estilo mudejar ,Teatro Juárez,Female,21,Perú,31/01/2016,1,es
3081,atraccion basica de guanajuato,"recomiendo visitarlo despues de que hayas realizado la tradicional callejoneada por las calles de la ciudad siento que es lo mejor ya que ellos te cuentan las historia antes de entrar al callejon y lo aprecias de forma distinta que si llegaras por tu propia cuenta
es un lugar que no parece ser lo que muchos describen pero si vas en pareja toma un mejor sentido",Callejón del Beso,Male,24,México,22/12/2015,1,es
780,las momias de guanajuato,esta por demas decir y pensar en que todas estas personas se conservan en tan buen estado me gustaria seguier ese plan,Museo de las Momias,Female,20,México,29/03/2012,1,es
2652,hermoso lugar,nos encanto este parque cada dia pasaba por aqui cenamos en uno de los restaurantes nos toco algo de calor asi que la sombra nos ayudo mucho siempre hay gente y buena energia en este lugar,Jardín de la Unión,Male,-1,Estados Unidos,2019,1,es
4214,lo mejor de la ciudad,muy bien cuidado y dan tours diarios con la explicacion del lugar,Teatro Juárez,Male,41,México,29/05/2012,1,es
747,no abren,es un atractivo turistico la gente va en fechas de turismo y el museo no abre para las fechas que la gente va un absurdo total,Casa de Diego Rivera,Male,-1,Colombia,2019,0,es
1212,buen recorrido,si tardas en entrar en temporada alta pero lo vale aunque sea un pequeno museo e interesante ver esos cuerpos mineralizados si no visitas por curiosidad el museo de las momias es como si no fueras a guanajuato,Museo de las Momias,Female,40,México,29/03/2016,1,es
1232,bellisima,la basilica ubicada en el centro de la ciudad esta muy bien conservada bonita por dentro y por fuera,Basilica Colegiata,Female,36,México,05/01/2015,1,es
3697,hermoso,la majestuosidad de este edifico deja maravillados a turistas mexicanos extranjeros e incluso habitantes locales que nunca nos cansamos de ver este historico teatro abierto desde  ver una obra o asistir a un evento dentro de el es una experiencia que no se puede perder,Teatro Juárez,Female,21,México,03/09/2015,1,es
285,interesante e impactante,es un museo que se recorre rapido  min tiene un costo de  pesos para los adultos y que se vuelve interesante al ver los cuerpos preservados y deshidratados le falta mejorar el audio del video de introduccion mas bocinas y ponerle en ingles subtitulos al video asi mismo hay que mejorar la museografia,Museo de las Momias,Male,33,México,22/01/2018,0,es
2511,preciosa y senorial,es un recinto impresionante hermoso digno representante de la casa de estudios del estado de guanajuato con una arquitectura maravillosa y con su escalinata tan representativa y famosa,Universidad de Guanajuato,Male,50,México,19/10/2016,1,es
1419,muy romantico,hermoso lugar para visitar con tu pareja muy pintoresco y un clima muy agradable los callejones y calles hermosas,Callejón del Beso,Female,32,México,04/10/2016,1,es
2764,parecido a los callejones de venecia,sin embargo esta un poco descuidado para tanta tradicion que antecede me gusto poco esperaba otra cosa en verona italia le hacen mucha difusion al balcon de romeo y julieta asi deberia ser aqui pero cumpliendo en cuanto al lugar que se visita necesita cuidados como pintura a la fachada y tal vez un poco mas de orden para sacarse las fotos la gente solo se amontona y no permite que todos cumplan su cometido,Callejón del Beso,Female,58,México,19/07/2016,1,es
631,interesante,disfruta de una buena vista tanto de una parte de la ciudad como de algunos callejones que pasan debajo de ella ideal para night selfies,Universidad de Guanajuato,Male,-1,Ecuador,13/08/2016,0,es
37,mercado,el diseno es perfecto pero las ultimas veces que he visitado guanajuato lo veo ya sucio falta limpieza lo que mas me gusto fue el diseno la amabilidad de las personas los preciso baratos lo que menos me gusto fue lo sucio,Mercado Hidalgo,Male,32,México,15/11/2012,0,es
2476,un punto historico que no te debes perder en guanajuato,a pesar de la larga espera para poder entrar el museo de la alhondiga es muy interesante te narra la historia de la zona desde la epoca precolombina hasta la revolucion vale la pena invertir un par de horas para conocerlo,Alhóndiga,Male,46,México,11/06/2017,1,es
1395,desayuno economico,excelente para comprar cosas economicas desayunos comidas y recuerditos economicos que en otras tiendas estan carisimas vale la pena visitarlo,Mercado Hidalgo,Male,35,México,19/09/2016,1,es
1653,obligatorio si vas con familia,el lugar ofrece una vista increible de la ciudad venden comida y artesanias en la parte mas alta en temporada alta las filas son muy largas sin embargo vale la pena lleven chamarra en la cima hace frio,Monumento Pípila,Male,18,México,21/11/2017,1,es
877,una vista increible,excelente lugar para admirar toda la ciudad de guanajuato espectacular de dia y de noche por igual ademas el llegar a el a traves de cientos de escaleras y angostos caminos hacen mas provechosa la visita,Monumento Pípila,Female,42,México,12/08/2016,1,es
1785,la universidad de guanajuato es impresionante,nos dio mucho gusto poder visitar este edificio impactante sobre todo poder apreciar que se encuentre en excelentes condiciones felicidades conservenla asi,Universidad de Guanajuato,Female,46,México,01/01/2014,1,es
3573,jardin hermoso,considero que esta zona y area cerca del jardin de la union es de lo mas bonita de la ciudad  muchos cafes alrededor donde puedes pasar un rato a gusto la proxima vez que visite quiero hospedarme justo en el hotel de enfrente de este jardin,Jardín de la Unión,Female,28,México,28/03/2016,1,es
